updated,description,package
2011-10-30,photogallery using decoupage,montage 0.3.3
2011-10-30,"A lightweight, fast, and simple database using json.",pickleDB 0.2
2011-10-30,"Python console script to synchronize media folders, using playlists as filter",WplSync 1.0.0alpha.dev-20111030
2011-10-30,"Collection of clean, well-tested, well-documented Python utilities for mathematical manipulations.",math115utils 1.0.0
2011-10-30,This app allows upload and crop images,django-image-cropper 0.1.2
2011-10-30,Port of Doug Hellmann's virtualenvwrapper to Windows batch scripts,virtualenvwrapper-win 1.0.0
2011-10-30,WePay API support,Flask-WePay 0.0.3
2011-10-30,Tissue - automated pep8 checker for nose,tissue 0.4
2011-10-30,Easy to use pattern matching and information extraction,stringparser 0.3
2011-10-30,Fast functional JavaScript testing with Zombie.js,collective.zombiedoctesting 1.0
2011-10-30,A desktop gmail notifier for Ubuntu OS,gmailwatcher 11.10.19
2011-10-30,A ctypes Python library to interface with libev,eve 0.0.1
2011-10-30,spec 0.1
2011-10-30,"Vim Scripts Manager (use pathogen, git, and python!)",vimpyre 0.2.1
2011-10-30,Ctypes-based simple MagickWand API binding for Python,Wand 0.1.6
2011-10-30,Pythonic Scraping / Crawling FrameWork built On Eventlet,crawley 0.2.0
2011-10-30,pyMCU - Python Micro Controller Wrapper,pymcu 1.0
2011-10-30,Autobahn WebSockets,autobahn 0.4.3
2011-10-30,Analytics service integration for Django projects,django-analytical 0.11.0
2011-10-30,Cineworld API Wrapper,cineworld 0.1.0
2011-10-30,Classes and functions for extending Tornado,tornado_tools 0.2.7a
2011-10-30,Urllib object wrapper,goto 0.0.2
2011-10-30,Python wrapper for libspotify,pyspotify 1.5
2011-10-30,pyramid_formalchemy twitter bootstrap integration,fa.bootstrap 0.2.1
2011-10-30,Modified printer of nested lists.,nester_bz 1.2.0
2011-10-30,A simple contact form for LFS,lfs-contact 1.0
2011-10-30,"Unix whereis-like python script and package to find the source file of python object (package, module, function, class ...).",pywhereis 0.0.2
2011-10-30,Adds a way to easily build admin apps,Flask-Dashed 0.1a
2011-10-30,A simple printer of nested list,owca-test 1.3.0
2011-10-30,A simple printer of nested lists,nester_tier 1.3.0
2011-10-30,Convert csv files into python object or django model,csvImporter 0.1.3.1
2011-10-30,"A Twitter bot that polls an RSS feed and posts the feed's titles as tweets, extracting words from the titles to use as hashtags.  After installing, the 'babbler' command will be available which you can use to run the bot. Data will be stored in the current directory.",babbler 0.2.1
2011-10-30,A bootstrapping mechanism for virtualenv+pip and shell scripts,VirtStrap 0.2.1
2011-10-30,Console app and Python API for sending SMSs through the Telenor WEB2SMS web app,telenor_web2sms 1.0.2
2011-10-30,Hook for adding Open Authentication support to Python-requests HTTP library.,requests-oauth-hook 0.1.3
2011-10-30,WTForms SQAlchemy extension,WTAlchemy 0.1b2
2011-10-30,"Zeta library is css, js framework.",zetalibrary 0.4.24
2011-10-30,a simple prtiner of nested lists,nesterjpv 1.4.5
2011-10-30,A simple and easy to use plain-text-like blogging-engine.,ngblog 0.1.1
2011-10-30,Create a mutex file for use in simple scripts,scriptmutex 0.2dev
